compression,confidence,data_type,database,dedup_key,earliest_timestamp_utc,estimated_size,event_or_bucket,genuine_or_carried_forward,historical_or_live,known_duplicates,known_gaps,late_arrival_possible,latest_timestamp_utc,live_continuation,notes,order_by,overlapping_sources,partitioning,primary_key,raw_or_derived,recommended_priority,row_or_event_count,schema,source_contract_or_code,source_id,source_sequence_available,source_system,symbol,table_or_path,timestamp_column,timestamp_resolution,timestamp_semantics,timezone
LZ4/default,HIGH,candles_1m,signal_generator,ReplacingMergeTree is_closed version,2025-12-11T00:00:00Z,ESTIMATED ~50MB/symbol,bucket,genuine,both,0_with_FINAL,NONE_PROVEN_7D,YES,2026-09-02T17:16:00Z,YES,Only 1m candles in CH; other TFs derived at query time,"(exchange,symbol,interval,open_time)",NONE,toYYYYMM(open_time),"(exchange,symbol,interval,open_time)",derived,PRIMARY,382637|382636,"exchange,symbol,interval,open_time,close_time,open,high,low,close,volume,turnover,is_closed,source,source_event_time,ingested_at",dashboard/research_charts/clickhouse_config.py,CH_CANDLES_1M,NO,clickhouse,BTCUSDT|DOGEUSDT,candles_1m,open_time,1m,bucket_open_utc_closed_only,UTC
LZ4/default,HIGH,public_trades,orderbook_analysis,trade_id + FINAL,2026-07-19T00:00:00Z,ESTIMATED multi-GB,event,genuine,both,0_at_FINAL,pre_2026-07-19,YES,2026-09-02T17:17:02Z,YES,side=Buy/Sell taker aggressor; ingest_timestamp separate; no trade seq column,"(symbol,trade_ts,trade_id)",archive+live overlap 2026-08-17..2026-08-20,toYYYYMM(trade_ts),trade_id,derived,PRIMARY,72475097|13474573,"trade_ts,ingest_timestamp,symbol,trade_id,side,price,size,notional,tick_direction,is_rpi_trade,source,source_file,exchange",research/btc_ob_fight/loaders.py,CH_PUBLIC_TRADES_CANONICAL,NO,clickhouse,BTCUSDT|DOGEUSDT,public_trades_canonical,trade_ts,ms,exchange_event_time_ms,UTC
LZ4/default,HIGH,orderbook_1s_agg,orderbook_analysis,ReplacingMergeTree created_at,2026-07-19T00:00:00Z,ESTIMATED ~1GB/symbol,bucket,mixed; quality_flags=carried_forward for ~1.08%,history_static,ReplacingMergeTree,ends 2026-08-28; post-gap use raw archive,NO_STATIC,2026-08-28T16:26:23Z,NO,ob200_v3 depth=200 only; not per-level; static since collector mode change,"(symbol,depth,parser_version,bucket_start)",RAW_OB200_ARCHIVE post 2026-08-28,toYYYYMM(bucket_start),"(symbol,depth,parser_version,bucket_start)",derived,FALLBACK_HISTORY,3300775|3298811,see inventory evidence,orderbook_analyse/orderbook_v2_live,CH_OB_FEATURES_1S_V2,last_update_seq,clickhouse,BTCUSDT|DOGEUSDT,orderbook_features_1s_v2,bucket_start,1s,1s_bucket_start_inclusive,UTC
zstd,HIGH,orderbook_raw,N/A,seq+u continuity in replay,2026-08-24T22:47:53Z,~10MB/hour/compressed ESTIMATED,event,genuine at event level; 1s CF only after aggregation,live_archive,NOT_PROVEN,before 2026-08-24 partial; no full history back to Jul-19 in FS,within segment,2026-09-02T17:00:00Z,YES,Source of Truth for per-level OB200 replay and post-aggregate gap,time+seq,CH_OB_FEATURES_1S_V2 until 2026-08-28,hourly zst segments,N/A,raw,PRIMARY_POST_2026-08-28,211 segments / 210.2h each symbol,ndjson/zst ob200_v3 snapshot+delta,research/btc_ob_fight/ob_replay.py,FS_RAW_OB200_V3,YES seq+u,filesystem,BTCUSDT|DOGEUSDT,/home/telgenbuescher/projects/orderbook_analyse/data/orderbook_raw_shadow/ob200_v3,exchange_ts,ms,exchange_event_time,UTC
LZ4/default,MEDIUM,open_interest,orderbook_analysis,insert_time/version NOT_PROVEN,2026-08-18T14:57:15Z,ESTIMATED tens of MB,bucket,genuine buckets,both,NOT_PROVEN,collector stale since ~2026-09-01T14:46:50Z,YES,2026-09-01T14:46:50Z,BROKEN_AT_AUDIT,Total OI only; no long/short split; OI history table for BTC Jul-Aug,"(symbol,bucket_time)",open_interest_events raw,toYYYYMM(bucket_time),"(symbol,bucket_time)",derived,PRIMARY,243085|242353,"exchange,category,symbol,bucket_time,source_event_time,received_at,open_interest,open_interest_value,single_open_interest,single_open_interest_value,last_price,mark_price,index_price,state_age_ms,state_valid,source,collector_instance_id,inserted_at",research/btc_ob_fight/loaders.py,CH_OPEN_INTEREST_5S,NO,clickhouse,BTCUSDT|DOGEUSDT,open_interest_5s,bucket_time,5s,5s_bucket + source_event_time,UTC
LZ4/default,HIGH,liquidations,orderbook_analysis,event_key,2026-08-18T15:03:37Z,ESTIMATED small,event,genuine,live,dedup via event_key in loader,sparse event stream; zero events != gap,YES,2026-09-01T16:36:59Z,YES,liquidation_flow_facts_v1 frozen mapping verified in liq_sample,"(symbol,event_time,event_key)",legacy liquidations table broken schema,toYYYYMM(event_time),event_key,derived,PRIMARY,34900|3477,"exchange,category,symbol,event_time,system_generated_at,received_at,position_side_raw,liquidated_position_side,size,bankruptcy_price,notional_estimate,source_topic,event_key,raw_payload_hash,collector_instance_id,inserted_at",research/btc_ob_fight/liquidation_flow_contract.py,CH_ALL_LIQUIDATIONS,NO,clickhouse,BTCUSDT|DOGEUSDT,all_liquidations,event_time,ms,exchange_event_time_ms,UTC
UNKNOWN,MEDIUM,public_trades_history,orderbook_analysis,trade_id,2026-01-06T00:00:00Z,ESTIMATED,event,genuine,history,NOT_PROVEN,DOGE only; BTC empty; pre-canonical era,NO,2026-02-28T23:59:59Z,NO,Gap Jan-Jul 2026 for DOGE outside canonical,UNKNOWN,canonical starts 2026-07-19,UNKNOWN,trade_id,raw,FALLBACK_HISTORY,2710057,NOT_PROVEN,NOT_PROVEN,CH_PUBLIC_TRADES_ARCHIVE,NO,clickhouse,DOGEUSDT,public_trades_archive,trade_ts,ms,exchange_event_time_ms,UTC
UNKNOWN,LOW,ticker_funding_oi_samples,orderbook_analysis,UNKNOWN,UNKNOWN,UNKNOWN,event,UNKNOWN,legacy,NOT_PROVEN,DOGE ends ~2026-08-11 per prior audit,YES,UNKNOWN,NO,Includes funding_rate field; coverage not re-proven this run,UNKNOWN,open_interest_5s,UNKNOWN,UNKNOWN,derived,FALLBACK,NOT_PROVEN,"exchange_ts,received_ts,symbol,last_price,mark_price,index_price,best_bid_price,best_ask_price,open_interest,open_interest_value,funding_rate,volume_24h,turnover_24h",prior audit,CH_TICKER_SAMPLES,NO,clickhouse,BTCUSDT|DOGEUSDT,ticker_samples,exchange_ts,NOT_PROVEN,exchange_ts + received_ts,UTC
N/A,HIGH,research_artifacts,N/A,N/A,2026-08-31T18:30:00Z,ESTIMATED hundreds of MB,mixed,mixed,snapshot,N/A,single anchor only,N/A,2026-08-31T19:30:00Z,NO,Golden runs for parity; liquidation_flow_facts_v1 in run_018,N/A,recomputes from CH+FS,N/A,run_id,derived,REFERENCE_NOT_SOT,run_011..run_018,manifest+json+csv,research/btc_ob_fight/,RESEARCH_BTC_OB_FIGHT,N/A,filesystem,BTCUSDT,results/btc_ob_fight_cases/,anchor_utc,mixed,analysis_window,UTC
UNKNOWN,HIGH,orderbook_raw_deltas,orderbook_analysis,UNKNOWN,UNKNOWN,UNKNOWN,event,UNKNOWN,broken,UNKNOWN,108 broken parts,UNKNOWN,UNKNOWN,NO,Table attach fails; do not use for research DB,UNKNOWN,FS_RAW_OB200_V3,UNKNOWN,UNKNOWN,raw,DO_NOT_USE,UNATTACHABLE,UNKNOWN,multisource inventory,CH_ORDERBOOK_DELTAS_LEGACY,YES_BUT_BROKEN,clickhouse,multi,orderbook_deltas,exchange_ts,tick,UNKNOWN,UTC
